code;libelle;definition
CUT;CUIVRE TELECOM;
OPT;OPTIQUE;
COA;COAXIAL;
ECL;ECLAIRAGE;
ELE;ELECTRICITE;
VID;VIDEO PROTECTION;
RAD;RADIO;
