code;libelle;definition
ACC;ACCOTEMENT;
CHAU;CHAUSSEE;
TROT;TROTTOIR;
TER;TERRE;
EMP;EMPIERRE;
PON;PONT;
SNC;PASSAGE SNCF;
CAN;CANIVEAU TECHNIQUE;
PAV;PAVES;
AQU;AQUATIQUE;
NC;NON COMMUNIQUE;
